Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
1-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2072
2-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2235
3-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2278
4-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2252
5-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2273
6-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2259
7-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2217
8-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2243
9-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2375
10-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2472
11-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2524
12-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2444
13-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2329
14-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2235
15-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2269
16-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2378
17-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2343
18-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2130
19-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2221
20-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2233
21-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2258
22-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2240
23-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2303
24-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2376
25-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2290
26-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2389
27-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2429
28-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2488
29-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2522
30-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2595
31-Jul-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2599
1-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2752
2-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2679
3-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2676
4-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2737
5-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2678
